ID;EDAD;TRABAJO;ESTADO_CIVIL;EDUCACION;INCUMPLIMIENTO;VIVIENDA;PRESTAMO;TIPO_CONTACTO;PERIODO_AFILIACION;CAMPANA;NRO_DIAS_CONTACTO;CONTACTOS_PREVIOS;RESULT_PREVIO;INGRESO;MONTO_DEUDA;Celular
27748;44;management;married;basic.6y;no;yes;no;cellular;202403;3;999;0;nonexistent;5234.628078;10573.40225;913310373
27749;38;technician;married;professional.course;no;yes;no;cellular;202403;1;999;0;nonexistent;5486.628078;13003.25507;982281291
27750;23;admin.;single;university.degree;no;yes;no;cellular;202403;2;999;0;nonexistent;5251.628078;12467.55375;927155078
27751;33;admin.;divorced;high.school;no;no;no;cellular;202403;2;999;0;nonexistent;5331.628078;25450.3422;907284082
27752;38;technician;married;professional.course;no;no;yes;cellular;202403;1;999;0;nonexistent;5459.628078;15352.12848;939465025
27753;38;technician;married;professional.course;no;no;no;cellular;202403;1;999;0;nonexistent;5210.628078;32616.36831;963140402
27754;38;technician;married;professional.course;no;no;no;cellular;202403;1;999;0;nonexistent;5315.628078;30280.5652;935245831
27755;38;technician;married;professional.course;no;no;yes;cellular;202403;2;999;0;nonexistent;5487.628078;19392.46237;910387064
27756;32;admin.;married;high.school;no;no;no;cellular;202403;2;999;0;nonexistent;5532.628078;6461.02216;945639721
27757;38;technician;married;professional.course;no;no;no;cellular;202403;1;999;0;nonexistent;5217.628078;30870.65996;962992742
27759;38;technician;married;professional.course;no;no;yes;cellular;202403;1;999;0;nonexistent;5442.815016;29605.86284;974714426
27760;34;technician;single;professional.course;no;no;no;cellular;202403;1;999;0;nonexistent;5485.815016;15702.51861;958294672
27761;34;technician;single;professional.course;no;yes;no;cellular;202403;1;999;0;nonexistent;5594.815016;15548.49699;913392263
27762;34;technician;single;professional.course;no;yes;yes;cellular;202403;1;999;0;nonexistent;5599.815016;23719.45575;972207923
27763;38;technician;married;professional.course;no;yes;no;cellular;202403;5;999;0;nonexistent;5487.815016;33268.85424;975246219
27764;38;technician;married;professional.course;no;yes;no;cellular;202403;3;999;0;nonexistent;5512.815016;24298.26095;974706382
27766;34;technician;single;professional.course;no;yes;no;cellular;202403;1;999;0;nonexistent;5316.815016;15164.29292;991283603
27767;34;technician;single;professional.course;no;yes;yes;cellular;202403;3;999;0;nonexistent;5416.815016;10986.88435;912547822
27769;38;technician;married;professional.course;no;yes;no;cellular;202403;2;7;1;success;5424.815016;6928.651502;968395132
27770;32;management;single;university.degree;no;yes;no;cellular;202403;1;999;0;nonexistent;5547.924317;19292.15075;979556898
27771;41;technician;singgle ;professional.course;no;yes;no;cellular;202403;1;999;0;nonexistent;5712.924317;29377.86806;955622358
27772;37;admin.;single;university.degree;no;yes;yes;cellular;202403;2;999;0;nonexistent;5522.924317;29647.66319;966294094
27773;55;technician;single;professional.course;no;yes;yes;cellular;202403;2;999;0;nonexistent;5552.924317;31946.52408;919642894
27775;67;retired;single;university.degree;no;yes;yes;cellular;202403;22;999;0;nonexistent;5613.924317;9488.751702;997446905
27776;32;management;single;university.degree;no;yes;no;cellular;202403;2;999;0;nonexistent;5670.924317;31196.59562;914113034
27778;32;management;single;university.degree;no;yes;yes;cellular;202403;1;999;0;nonexistent;5561.499521;8446.124524;972922690
27779;38;technician;married;university.degree;no;no;no;cellular;202403;2;999;2;failure;5471.499521;24051.58116;915248390
27780;32;management;single;university.degree;no;yes;no;cellular;202403;1;999;0;nonexistent;5693.499521;15873.06322;943118038
27781;73;retired;married;university.degree;no;yes;no;cellular;202403;1;999;1;failure;5607.499521;29586.42839;918926931
27782;32;management;single;university.degree;no;yes;no;cellular;202403;1;999;0;nonexistent;5672.499521;32726.70348;908742894
27783;31;blue-collar;single;high.school;no;yes;no;cellular;202403;1;999;0;nonexistent;5472.499521;33066.04869;925512193
27784;33;technician;married;university.degree;no;yes;no;cellular;202403;2;999;0;nonexistent;5734.499521;26112.3431;945725866
27785;32;management;single;university.degree;no;yes;no;cellular;202403;3;999;0;nonexistent;5628.499521;32916.33792;982604499
27786;39;admin.;single;high.school;no;yes;no;cellular;202403;2;999;0;nonexistent;5622.499521;33009.51614;943756318
27787;39;admin.;single;high.school;no;no;no;cellular;202403;5;999;0;nonexistent;5480.499521;24078.16868;995485086
27790;39;admin.;single;high.school;no;yes;no;cellular;202403;3;999;0;nonexistent;5658.499521;32714.58071;903244035
27791;38;technician;married;university.degree;no;no;no;cellular;202403;1;999;0;nonexistent;5548.499521;25553.18709;962799539
27794;32;management;single;university.degree;no;yes;no;cellular;202403;1;999;0;nonexistent;5633.499521;13348.91468;979415318
27795;39;blue-collar;single;basic.4y;no;yes;no;cellular;202403;3;999;0;nonexistent;5710.499521;6590.945579;987370971
27796;37;admin.;married;university.degree;no;yes;yes;cellular;202403;3;999;0;nonexistent;5608.499521;30090.17903;905937830
27797;30;student;single;basic.4y;no;yes;yes;cellular;202403;2;999;0;nonexistent;5746.499521;8509.503839;960836750
27798;32;management;single;university.degree;no;yes;no;cellular;202403;3;999;0;nonexistent;5482.499521;23660.65195;951951737
27799;32;management;single;university.degree;no;yes;no;cellular;202403;2;999;0;nonexistent;5576.499521;28491.37525;974037757
27800;29;self-employed;married;university.degree;no;yes;no;cellular;202403;3;999;0;nonexistent;5541.547842;22789.26832;949378045
27802;29;self-employed;married;university.degree;no;no;no;cellular;202403;1;999;0;nonexistent;5781.547842;22657.62628;925889917
27803;80;retired;divorced;basic.4y;no;no;no;cellular;202403;2;999;0;nonexistent;5785.547842;29277.33981;974423818
27804;29;self-employed;married;university.degree;no;yes;no;cellular;202403;4;999;0;nonexistent;5713.547842;23238.73316;910517441
27805;29;self-employed;married;university.degree;no;yes;yes;cellular;202403;1;999;1;failure;5808.547842;10636.48866;915980342
27806;80;retired;divorced;basic.4y;no;yes;yes;cellular;202403;5;999;0;nonexistent;5864.547842;27647.72925;970711442
27807;29;self-employed;married;university.degree;no;no;no;cellular;202403;1;999;0;nonexistent;5840.547842;11759.6788;936720611
27808;29;self-employed;married;university.degree;no;no;no;cellular;202403;2;999;0;nonexistent;5847.547842;28953.67563;978525229
27810;60;retired;married;professional.course;no;yes;no;cellular;202403;1;999;0;nonexistent;5699.547842;24521.44652;954725319
27811;80;retired;divorced;basic.4y;no;yes;no;cellular;202403;1;999;0;nonexistent;5690.547842;27809.11981;926627606
27812;80;retired;divorced;basic.4y;no;no;no;cellular;202403;1;999;0;nonexistent;5609.547842;29348.54394;951924807
27813;80;retired;divorced;basic.4y;no;yes;no;cellular;202403;1;999;0;nonexistent;5883.547842;14979.33659;924999457
27814;80;retired;divorced;basic.4y;no;yes;no;cellular;202403;7;999;0;nonexistent;5624.547842;18062.25843;919552292
27816;80;retired;divorced;basic.4y;no;yes;yes;cellular;202403;2;999;0;nonexistent;5717.547842;12403.58427;965917910
27817;80;retired;divorced;basic.4y;no;yes;no;cellular;202403;3;999;0;nonexistent;5766.547842;32776.62739;915718037
27819;80;retired;divorced;basic.4y;no;yes;no;cellular;202403;1;999;0;nonexistent;5840.547842;7996.02046;901666036
27820;33;admin.;married;university.degree;no;no;no;cellular;202403;2;999;0;nonexistent;5889.079223;15402.92668;963069275
27822;27;student;single;high.school;no;yes;no;cellular;202403;4;999;0;nonexistent;5645.079223;6829.812646;934305746
27823;26;management;single;university.degree;no;yes;no;cellular;202403;1;999;0;nonexistent;5562.079223;7151.463312;981289712
27824;66;retired;married;basic.4y;no;yes;no;cellular;202403;1;999;0;nonexistent;5730.079223;22572.32995;970774611
27826;26;management;single;university.degree;no;no;no;cellular;202403;1;999;0;nonexistent;5685.079223;32620.91413;997965908
27828;19;student;single;basic.9y;no;yes;no;cellular;202403;4;999;0;nonexistent;5802.274668;23109.22647;996564770
27829;28;self-employed;single;university.degree;no;yes;no;cellular;202403;2;999;0;nonexistent;5600.274668;13731.29826;955406412
27830;32;student;single;university.degree;no;no;no;cellular;202403;11;999;0;nonexistent;5961.274668;16760.47643;972482618
27831;28;self-employed;single;university.degree;no;yes;no;cellular;202403;1;999;0;nonexistent;5744.274668;30594.47048;979437151
27832;28;self-employed;single;university.degree;no;no;no;cellular;202403;1;999;0;nonexistent;5819.274668;16575.35527;948559727
27836;50;unemployed;unknown;university.degree;no;no;no;cellular;202403;2;999;0;nonexistent;5882.274668;14242.47715;944601992
27837;28;self-employed;single;university.degree;no;no;no;cellular;202403;2;999;0;nonexistent;5828.274668;8533.565813;913444449
27838;70;retired;married;basic.4y;no;yes;no;cellular;202403;6;999;1;failure;5721.059648;7149.17566;939908334
27839;70;retired;married;basic.4y;no;no;no;cellular;202403;3;999;1;failure;5909.059648;16753.91917;999749385
27840;34;technician;married;professional.course;no;no;no;cellular;202403;4;999;0;nonexistent;5632.059648;6442.13743;919069501
27842;56;retired;married;university.degree;no;yes;yes;cellular;202403;2;999;0;nonexistent;5947.059648;31393.85444;951577733
27843;34;technician;married;professional.course;no;yes;no;cellular;202403;1;999;0;nonexistent;5982.059648;26163.37133;931183509
27844;34;technician;married;professional.course;no;yes;yes;cellular;202403;1;999;0;nonexistent;5802.059648;6736.978423;946451946
27845;70;retired;married;basic.4y;no;yes;no;cellular;202403;1;999;0;nonexistent;5815.059648;29033.89887;971316939
27846;34;technician; married;professional.course;no;no;no;cellular;202403;13;999;0;nonexistent;6016.059648;12614.0183;996334447
27847;28;technician;single;university.degree;no;no;no;cellular;202403;4;999;0;nonexistent;5873.059648;11619.99608;941234554
27848;50;admin.;divorced;university.degree;no;yes;no;cellular;202403;1;999;0;nonexistent;5918.113861;13873.22451;941468747
27849;46;technician;married;professional.course;no;no;no;cellular;202403;2;999;0;nonexistent;5759.113861;7299.74615;934119912
27850;33;admin.;single;university.degree;no;no;no;cellular;202403;2;999;1;failure;6003.113861;7110.133925;997201919
27851;21;student;single;high.school;no;no;no;cellular;202403;1;999;0;nonexistent;6003.113861;18473.95423;947091787
27852;13;retired;divorced;unknown;no;yes;no;cellular;202403;1;999;0;nonexistent;5967.113861;11329.20906;970618534
27857;34;admin.;single;university.degree;no;no;no;cellular;202403;2;999;0;nonexistent;5684.113861;30508.47915;944137457
27859;32;admin.;single;professional.course;no;yes;yes;cellular;202403;1;999;0;nonexistent;5795.113861;6982.645112;964764447
27860;50;admin.;divorced;university.degree;no;yes;no;cellular;202403;19;999;0;nonexistent;5869.113861;8027.849039;974191955
27861;26;student;single;high.school;no;no;no;cellular;202403;2;999;0;nonexistent;5839.593918;19719.39882;951644565
27863;33;blue-collar;single;high.school;no;no;no;cellular;202403;2;999;0;nonexistent;5891.593918;11347.33373;994873967
27865;24;admin.;single;high.school;no;yes;yes;cellular;202403;1;999;0;nonexistent;5830.593918;16439.036;956518813
27866;33;blue-collar;single;high.school;no;yes;no;cellular;202403;1;999;0;nonexistent;5841.593918;23144.35248;955042448
27867;68;retired;married;university.degree;no;no;no;cellular;202403;1;999;0;nonexistent;6117.593918;31377.68693;930414487
27868;33;blue-collar;single;high.school;no;yes;no;cellular;202403;4;999;1;failure;5774.593918;31577.29119;910016221
27869;32;management;single;university.degree;no;no;yes;cellular;202403;1;999;0;nonexistent;6071.748095;23369.21744;906958816
27871;36;admin.;married;high.school;no;yes;no;cellular;202403;3;999;0;nonexistent;5917.748095;33469.96661;935643142
27872;24;management;married;unknown;no;no;no;cellular;202403;5;999;0;nonexistent;6174.374028;12666.2485;947477422
27874;31;admin.;divorced;university.degree;no;no;no;cellular;202403;4;999;0;nonexistent;6020.389969;22816.07284;941528696
27875;54;admin.;married;university.degree;no;yes;no;cellular;202403;1;999;0;nonexistent;6039.389969;28546.28817;908775681
27876;75;retired;divorced;basic.9y;no;no;no;cellular;202403;1;999;0;nonexistent;5917.389969;17884.57056;946584534
27878;27;unemployed;single;university.degree;no;yes;no;cellular;202403;1;999;0;nonexistent;6263.389969;16182.01052;993778434
27879;31;admin.;divorced;university.degree;no;yes;yes;cellular;202403;2;999;1;failure;6041.389969;10349.21699;915976241
27881;19;student;single;basic.6y;no;no;no;cellular;202403;1;999;0;nonexistent;6060.313783;10141.59714;967564050
27882;35;blue-collar;single;professional.course;no;yes;no;cellular;202403;1;999;0;nonexistent;5948.313783;29801.58138;993978406
27885;32;technician;divorced;professional.course;no;no;no;cellular;202403;2;999;0;nonexistent;6244.313783;17886.31481;926677763
27886;28;technician;single;professional.course;no;yes;no;cellular;202403;2;999;0;nonexistent;6068.313783;22727.98683;903409799
27887;29;blue-collar;single;basic.9y;no;yes;no;cellular;202403;2;999;0;nonexistent;6217.313783;8593.604675;997975169
27888;61;retired;married;basic.9y;no;no;yes;cellular;202403;2;999;0;nonexistent;6017.313783;18764.98882;958824320
27890;29;blue-collar;single;basic.9y;no;yes;no;cellular;202403;13;999;0;nonexistent;6062.313783;20731.5521;953671637
27893;50;management;married;basic.9y;no;no;no;cellular;202403;1;999;0;nonexistent;6134.4393;14465.84626;964200217
27894;28;admin.;single;university.degree;no;no;no;cellular;202403;2;999;0;nonexistent;6056.4393;15815.62095;926528438
27897;33;admin.;married;university.degree;no;yes;no;cellular;202403;8;999;0;nonexistent;6367.4393;8851.930737;906317285
27898;28;admin.;single;university.degree;no;no;no;cellular;202403;2;999;0;nonexistent;6181.4393;32832.89576;993535036
27900;36;management;married;university.degree;no;no;no;cellular;202403;2;999;0;nonexistent;6345.12469;30923.88224;970397120
27901;36;management;married;university.degree;no;yes;no;cellular;202403;1;999;1;failure;6365.12469;16873.75304;926219557
27902;26;student;single;high.school;no;no;no;cellular;202403;1;999;0;nonexistent;6100.12469;14014.96046;945127260
27903;70;housemaid;married;basic.4y;no;no;no;cellular;202403;1;999;1;failure;6306.12469;6629.793278;929131731
27904;45;technician;single;professional.course;no;yes;yes;cellular;202403;2;999;0;nonexistent;6255.12469;14372.01993;941458987
27905;20;student;single;basic.9y;no;yes;no;cellular;202403;1;999;0;nonexistent;6103.12469;19403.89349;957912961
27906;36;management;married;university.degree;no;yes;yes;cellular;202403;1;999;0;nonexistent;6342.12469;10291.35695;961146647
27908;20;student;single;basic.9y;no;yes;no;cellular;202403;2;999;0;nonexistent;6164.12469;31357.78314;978921432
27911;58;unemployed;married;basic.4y;unknown;yes;no;cellular;202403;4;999;0;nonexistent;6095.12469;11935.04198;966600919
27912;68;retired;married;basic.4y;no;no;no;cellular;202403;4;999;0;nonexistent;6174.12469;33141.76886;927271504
27916;27;housemaid;married;high.school;no;yes;no;cellular;202403;12;999;0;nonexistent;6431.459562;29873.82936;985941633
27918;28;admin.;single;high.school;no;yes;no;cellular;202403;1;999;0;nonexistent;6125.459562;17400.25525;980731919
27919;28;admin.;single;high.school;no;yes;no;cellular;202403;1;999;0;nonexistent;6370.459562;10435.21283;928794562
27920;28;admin.;single;high.school;no;yes;no;cellular;202403;1;999;0;nonexistent;6059.459562;22719.16336;900579236
27921;28;self-employed;single;university.degree;no;yes;no;cellular;202403;1;999;0;nonexistent;6277.459562;24330.11171;971458506
27922;56;blue-collar;married;basic.4y;no;yes;no;cellular;202403;1;999;0;nonexistent;6088.459562;22333.78817;984641777
27923;28;admin.;single;high.school;no;yes;no;cellular;202403;2;999;0;nonexistent;6288.459562;15679.35921;970597209
27924;41;technician;married;professional.course;no;no;no;cellular;202403;2;999;0;nonexistent;6256.459562;10028.83372;913731524
27926;25;admin.;married;university.degree;no;yes;no;cellular;202403;1;999;0;nonexistent;6135.459562;18819.56938;938083628
27927;25;admin.;married;university.degree;no;no;no;cellular;202403;1;999;0;nonexistent;6173.459562;11588.60465;903235381
27928;25;admin.;married;university.degree;no;yes;no;cellular;202403;1;999;0;nonexistent;6120.459562;29961.36615;936730922
27929;30;blue-collar;single;university.degree;no;no;no;cellular;202403;1;999;0;nonexistent;6252.459562;7269.888102;998007550
27930;28;admin.;single;high.school;no;no;yes;cellular;202403;2;999;0;nonexistent;6123.459562;19163.1508;957364894
27932;43;admin.;married;university.degree;no;yes;no;cellular;202403;2;999;0;nonexistent;6168.459562;21115.24743;996988121
27934;66;retired;married;unknown;no;yes;no;cellular;202403;1;999;0;nonexistent;6398.459562;26783.67946;997782923
27937;60;admin.;married;university.degree;no;yes;no;cellular;202403;1;999;0;nonexistent;6172.459562;17574.72086;955193090
27939;43;admin.;married;university.degree;no;yes;no;cellular;202403;3;999;0;nonexistent;6265.459562;17003.99437;966700942
27942;28;admin.;single;high.school;no;no;no;cellular;202403;2;999;0;nonexistent;6334.459562;12544.09931;981910952
27944;28;admin.;single;high.school;no;no;no;cellular;202403;2;999;0;nonexistent;6163.459562;27769.66917;920124345
27945;32;admin.;single;university.degree;no;unknown;unknown;cellular;202403;3;999;0;nonexistent;6155.873224;22765.35855;901951242
27946;34;technician;single;university.degree;no;no;no;cellular;202403;2;999;0;nonexistent;6165.873224;25995.61953;981650073
27948;34;technician;single;university.degree;no;yes;no;cellular;202403;2;999;1;failure;6301.873224;25742.80613;980781471
27949;34;technician;single;university.degree;no;yes;no;cellular;202403;4;999;0;nonexistent;6168.873224;10926.47941;911640066
27950;32;admin.;single;university.degree;no;yes;yes;cellular;202403;6;999;0;nonexistent;6455.873224;30661.20888;943572563
27951;80;retired;married;basic.4y;unknown;yes;no;cellular;202403;1;999;0;nonexistent;6196.873224;27873.25603;935575952
27953;32;admin.;single;university.degree;no;yes;no;cellular;202403;8;999;0;nonexistent;6456.873224;30699.50401;901579178
27954;32;admin.;single;university.degree;no;yes;no;cellular;202403;3;999;0;nonexistent;6381.873224;7774.066993;989699115
27955;21;student;single;basic.4y;no;no;no;cellular;202403;2;999;0;nonexistent;6494.873224;21802.35721;912954389
27956;32;admin.;married;university.degree;no;yes;no;cellular;202403;1;999;0;nonexistent;6350.873224;10999.62325;930149532
27958;158;admin.;married;university.degree;no;yes;yes;cellular;202403;3;999;0;nonexistent;6443.873224;13835.68868;907379862
27959;62;admin.;married;high.school;no;no;no;cellular;202403;2;999;0;nonexistent;6155.873224;25496.40265;985278520
27960;32;admin.;single;university.degree;no;no;no;cellular;202403;3;999;0;nonexistent;6181.873224;32888.18924;941670136
27961;34;technician;single;university.degree;no;no;no;cellular;202403;8;999;0;nonexistent;6477.873224;15578.51434;931702239
27962;59;blue-collar;married;basic.4y;no;yes;yes;cellular;202403;4;999;0;nonexistent;6411.262938;27027.9402;935514442
27966;39;admin.;married;high.school;unknown;yes;yes;cellular;202403;1;999;0;nonexistent;6199.262938;6944.27854;939021922
27967;39;admin.;married;high.school;unknown;yes;no;cellular;202403;1;999;0;nonexistent;6544.262938;13145.75514;929103034
27968;39;admin.;married;high.school;unknown;yes;no;cellular;202403;1;999;1;failure;6476.262938;28159.9935;986982663
27969;45;blue-collar;married;basic.9y;no;yes;no;cellular;202403;1;999;0;nonexistent;6537.262938;13676.93029;940615177
27970;45;blue-collar;married;basic.9y;no;yes;no;cellular;202403;1;999;0;nonexistent;6157.262938;33019.57403;952695581
27971;44;blue-collar;single;basic.4y;no;yes;no;cellular;202403;2;999;0;nonexistent;6410.262938;30695.8472;960695651
27972;48;admin.;single;university.degree;no;yes;no;cellular;202403;1;999;0;nonexistent;6234.262938;31630.97196;965273795
39131;39;admin.;single;university.degree;no;yes;no;cellular;202403;1;999;1;failure;15567.96115;7899.429519;913216056
39132;60;technician;married;university.degree;no;yes;no;cellular;202403;1;999;0;nonexistent;15729.96115;9469.852456;999527818
39133;30;blue-collar;married;high.school;no;yes;no;cellular;202403;1;999;0;nonexistent;15651.96115;11051.66858;951673073
39134;78;retired;divorced;professional.course;no;yes;no;cellular;202403;1;999;1;failure;15725.96115;17720.94471;900274824
39135;66;retired;married;basic.4y;no;yes;no;cellular;202403;1;6;1;success;15561.96115;24410.22624;991406117
39137;31;admin.;divorced;professional.course;no;yes;no;cellular;202403;1;999;0;nonexistent;15859.96115;10141.48124;973975352
39138;30;blue-collar;married;high.school;no;no;no;cellular;202403;1;999;0;nonexistent;15625.96115;14249.37994;917466480
39140;30;technician;married;professional.course;no;yes;yes;cellular;202403;1;999;0;nonexistent;15603.96115;30474.90512;950966226
39142;30;technician;married;professional.course;no;yes;no;cellular;202403;1;999;1;failure;15809.96115;24388.6501;993419175
39143;31;admin.;married;university.degree;no;unknown;unknown;cellular;202403;1;999;0;nonexistent;15945.96115;22762.7616;921229007
39146;53;technician;married;high.school;no;yes;no;cellular;202403;2;999;0;nonexistent;15730.96115;11342.4251;988987176
39147;27;unknown;single;university.degree;no;no;no;cellular;202403;1;999;0;nonexistent;15718.96115;26679.70707;923417121
39148;19;student;single;basic.6y;no;yes;no;cellular;202403;1;5;2;success;15573.96115;6907.467906;924885984
39149;31;admin.;divorced;professional.course;no;yes;no;cellular;202403;2;999;1;failure;15603.96115;31424.31891;983061201
39150;25;blue-collar;single;basic.6y;no;no;no;cellular;202403;4;999;0;nonexistent;15624.96115;10446.87439;934617786
39151;35;services;single;high.school;no;yes;no;cellular;202403;3;999;0;nonexistent;15589.96115;32048.59187;955427226
39152;30;technician;married;professional.course;no;yes;no;cellular;202403;2;6;2;success;15817.96115;20196.14439;996086322
39153;33;admin.;married;university.degree;no;yes;no;cellular;202403;3;4;1;success;15940.96115;9746.327461;990263041
39155;38;blue-collar;single;high.school;no;no;no;cellular;202403;1;999;1;failure;15566.96115;29332.00531;900841129
39156;38;blue-collar;single;high.school;no;yes;no;cellular;202403;1;999;0;nonexistent;15654.96115;20636.66434;972578623
39157;24;admin.;single;university.degree;no;yes;no;cellular;202403;2;999;1;failure;15599.96115;20652.00354;939530425
39158;38;blue-collar;single;high.school;no;yes;no;cellular;202403;1;13;2;failure;15553.96115;28638.01958;913556083
39161;21;student;single;basic.9y;no;yes;no;cellular;202403;2;999;1;failure;15562.96115;18018.12657;944397882
39162;36;admin.;married;high.school;no;yes;no;cellular;202403;6;999;0;nonexistent;15640.96115;6656.931763;974728228
39163;54;technician;single;university.degree;no;yes;no;cellular;202403;3;999;0;nonexistent;15906.96115;10420.07055;944712034
39164;36;management;single;university.degree;no;no;no;cellular;202403;1;999;0;nonexistent;15805.96115;7844.502051;994452466
39165;34;technician;single;university.degree;no;yes;yes;cellular;202403;3;3;2;success;15931.35249;23007.13041;923794995
39166;37;admin.;single;university.degree;no;yes;no;cellular;202403;2;999;1;failure;15852.35249;23723.27202;934986147
39167;34;technician;single;university.degree;no;yes;no;cellular;202403;2;999;0;nonexistent;15743.35249;9933.535285;999790393
39169;34;admin.;married;professional.course;no;no;yes;cellular;202403;2;999;1;failure;15580.35249;23779.61721;912467264
39170;34;technician;single;university.degree;no;no;no;cellular;202403;1;999;2;failure;15859.35249;16811.95276;910829018
39171;36;management;married;university.degree;no;no;no;cellular;202403;1;999;2;failure;15606.35249;19833.92327;989826738
39172;53;admin.;divorced;university.degree;no;no;no;cellular;202403;1;999;0;nonexistent;15671.35249;8879.985779;945805735
39176;25;blue-collar;single;basic.9y;no;no;no;cellular;202403;2;10;2;success;15846.35249;16937.94633;919925274
39177;66;retired;divorced;basic.4y;no;yes;no;cellular;202403;4;999;2;failure;15973.35249;8926.938777;993613173
